bts;nearest;distance
Abbadia Lariana;Mandello;2478.4816332687924
Pian Sciresa;Monte Barro;1539.800252055988
Mandello;Abbadia Lariana;2478.4816332687924
Vermezzo;Gudo Visconti Industriale;2882.137562031268
Gudo Visconti Industriale;Vermezzo;2882.137562031268
Arluno;Ossona;3733.9365078437595
Binasco;Zibido San giacomo;3864.2555211412596
Parona;Parona Campanile;2840.6846728360147
Lacchiarella Centro;Binasco;3983.3437963971487
Rozzano;Zibido San giacomo;4398.62694541401
Cutigliano;Pian Dei Termini Basso ;5548.356913275977
Monte Gomito;Abetone;3221.880486444683
Abetone;Monte Gomito;3221.880486444683
Fontecchio;Piana Di Navelli;4104.253979036255
Terracino;Colle Petrone;7117.9863829500755
Colle Petrone;Arquata del Tronto;5410.879104492441
Vallubio;Molaccione;6787.690898962862
Paganuccio_OLD;Vallubio;7622.420854963681
Cupa delle Cotaline;Monte Petrano;7070.694789290626
Col della Serra;Venamartello;4047.5962242233627
Venamartello;Col della Serra;4047.5962242233627
Orlini;Colle Carbonara;2730.7262871976204
Settecerri;Monte Piselli;3692.360659975517
Monte Piselli;Settecerri;3692.360659975517
Poggio San Marco;Ascoli Piceno PoP;4306.481465680058
Ripatransone;Grottammare;7004.864163754264
Colle di Marzio;Colonnella;2709.346794223024
Colonnella;Colle di Marzio;2709.346794223024
Conca degli Ulivi;Grottammare;4101.02513209056
Grottammare;Conca degli Ulivi;4101.02513209056
Lussito;Terzo;4876.255749520783
Terzo;Bistagno;4557.375156869855
Castelletto DErro;Cartosio;3197.010783493723
Baricetta;Adria;4668.847055536428
Boscochiaro;Adria;10154.615599010504
Ariano Polesine;Mesola;8352.576659964136
Adria;Baricetta;4668.847055536428
Gandosso;Capriolo;2646.468231554637
Sulzano;Polaveno;2533.254913897617
Adro;Monte Orfano;3044.311788783843
Villongo;Capriolo;1747.0394321111446
Solane;Monte Pastello Sud;3552.8237286680237
Monte Pastello Nord;Monte Pastello Sud;279.51662435568835
San Zeno;Costermano;3770.387735390564
Spiazzi;Monte Pastello Nord;5375.219854079383
Affi;Moscal;2413.5974491930706
Bardolino;Moscal;2528.354789866979
Agerola via Panoramica;Ravello;4642.065486430501
Catenanuova;Centuripe Gelofia;4980.748546313186
Agira;Nissoria;5152.82946794345
Agnadello;Borgo di Gradella;2857.4076230132127
Vailate nord;Calvenzano;2586.9839413605914
Calvenzano;Vailate nord;2586.9839413605914
Palazzo Pignano;Monte Cremasco;2501.6461764775204
Treviglio Sud;Calvenzano;3038.0044308248625
Spino d'Adda;Borgo di Gradella;3878.5665637240404
Caravaggio;Calvenzano;3622.350866419904
Sergnano;Ricengo;5383.492012596622
Monte Cremasco;Bagnolo Cremasco;2443.2410384218183
Trecella;Cassano dAdda;2508.4863293152853
Bagnolo Cremasco;Monte Cremasco;2443.2410384218183
Cassano dAdda;Trecella;2508.4863293152853
Pozzuolo Martesana;Trecella;3759.321570416708
Pozzo dadda;Trezzano Rosa;2324.692075588679
Vaprio dAdda Centro;Pozzo dadda;2818.882790912445
Mombretto di Mediglia;Settala;2686.459437848037
Arcene;Boltiere;3261.220530563288
Lodi Vecchio;Lodi Casello;4290.802936772003
Borgo di Gradella;Agnadello;2857.4076230132127
Rivolta Dadda;Agnadello;3555.6536283718065
Rovigo Nord;Rovigo Centro;2014.5936043582003
Agna;San Martino di Venezze;7567.980055920064
Agnone;Schiavi di Abruzzo;6892.780117141246
Selva Piana;Prandaglio;1529.8820640299205
Agnosine;Caino BS;4531.645229607586
Monte Arion;Bries;2075.357734345812
Bries;Monte Arion;2075.357734345812
Agrate Conturbia;Agrate;465.2524421911145
